DATE,Ecommerce_Retail_Sales_Millions,Retail_Sales_Total_Millions,Ecommerce_Percent_Of_Total
2020-01-01,156916.0,447774,35.043571087200235
2020-02-01,156916.0,447972,35.02808211227487
2020-03-01,156916.0,420954,37.27628196905125
2020-04-01,208112.0,370296,56.201525266273464
2020-05-01,208112.0,437957,47.51882034080971
2020-06-01,208112.0,465800,44.6784027479605
2020-07-01,212375.0,471873,45.006813273910566
2020-08-01,212375.0,473696,44.83360636357495
2020-09-01,212375.0,482702,43.99712451989012
2020-10-01,217160.0,480763,45.1698654014556
2020-11-01,217160.0,478079,45.4234551193422
2020-12-01,217160.0,485949,44.68781703429784
2021-01-01,227949.0,501604,45.44401559796174
2021-02-01,227949.0,488805,46.63393377727314
2021-03-01,227949.0,539607,42.243521674107264
2021-04-01,236010.0,542199,43.528298650495486
2021-05-01,236010.0,536589,43.98338393071792
2021-06-01,236010.0,540152,43.69325671292525
2021-07-01,232168.0,528600,43.9213015512675
2021-08-01,232168.0,532477,43.601507670753854
2021-09-01,232168.0,536651,43.26238095149362
2021-10-01,239825.0,545361,43.97545845779218
2021-11-01,239825.0,551082,43.5189318468032
2021-12-01,239825.0,547277,43.82150172581709
2022-01-01,243978.0,560257,43.547514801243004
2022-02-01,243978.0,563777,43.275621389308185
2022-03-01,243978.0,574485,42.46899396851093
2022-04-01,247967.0,580943,42.68353349640154
2022-05-01,247967.0,579844,42.764433192375876
2022-06-01,247967.0,585556,42.34727336070333
2022-07-01,251988.0,579267,43.50118339211452
2022-08-01,251988.0,581196,43.35680218033159
2022-09-01,251988.0,579446,43.48774519109632
2022-10-01,252656.0,585006,43.18861686888681
2022-11-01,252656.0,576356,43.83679531400732
2022-12-01,252656.0,569119,44.394230380640956
2023-01-01,262965.0,591964,44.42246487962106
2023-02-01,262965.0,586165,44.861941603473426
2023-03-01,262965.0,578812,45.43185006530618
2023-04-01,269738.0,583874,46.197981071258525
2023-05-01,269738.0,586286,46.007921048771415
2023-06-01,269738.0,588670,45.82159783919683
2023-07-01,275176.0,589257,46.69880883892767
2023-08-01,275176.0,595191,46.23322597283897
2023-09-01,275176.0,598956,45.94260680250302
2023-10-01,276781.0,595517,46.47743053514845
2023-11-01,276781.0,593567,46.63011926202097
2023-12-01,276781.0,594256,46.57605476427668
2024-01-01,283038.0,588944,48.058559048058896
2024-02-01,283038.0,593206,47.71327329797743
2024-03-01,283038.0,595969,47.49206754042576
2024-04-01,288535.0,595676,48.43824495195375
2024-05-01,288535.0,600372,48.05936985735511
2024-06-01,288535.0,600272,48.06737612282432
2024-07-01,295269.0,606077,48.71806717628288
2024-08-01,295269.0,604173,48.871598035661975
2024-09-01,295269.0,608701,48.508052393539685
2024-10-01,300357.0,612570,49.03227386257897
2024-11-01,300357.0,616833,48.693406481170754
2024-12-01,300357.0,622396,48.25818289320625
2025-01-01,300226.0,615973,48.740123349562396
2025-02-01,300226.0,616714,48.68156065858729
2025-03-01,300226.0,625121,48.026861999516896
2025-04-01,300226.0,623521,48.15010240232486
2025-05-01,300226.0,617367,48.630069310474966
2025-06-01,300226.0,621370,48.31678388077957
