Date,Year,Month,Month_Name,Quarter,Quarter_Year,Ecommerce_Retail_Sales_Millions,Retail_Sales_Total_Millions,Retail_Food_Beverage_Stores,Retail_Grocery_Stores,Retail_Clothing_Stores,Retail_General_Merchandise,Retail_Misc_Store_Retailers,Retail_Electronic_Shopping,Unemployment_Rate,CPI_All_Items,Retail_Sales_Excl_Auto,Retail_Sales_Index,Consumer_Sentiment,Disposable_Income,Personal_Consumption_Expenditures,Ecommerce_Percent_Of_Total,Ecommerce_Retail_Sales_Millions_MoM_Change,Ecommerce_Retail_Sales_Millions_YoY_Change,Retail_Sales_Total_Millions_MoM_Change,Retail_Sales_Total_Millions_YoY_Change,Retail_Food_Beverage_Stores_MoM_Change,Retail_Food_Beverage_Stores_YoY_Change,Retail_Grocery_Stores_MoM_Change,Retail_Grocery_Stores_YoY_Change,Retail_Clothing_Stores_MoM_Change,Retail_Clothing_Stores_YoY_Change,Retail_General_Merchandise_MoM_Change,Retail_General_Merchandise_YoY_Change,Retail_Misc_Store_Retailers_MoM_Change,Retail_Misc_Store_Retailers_YoY_Change,Retail_Electronic_Shopping_MoM_Change,Retail_Electronic_Shopping_YoY_Change,Unemployment_Rate_MoM_Change,Unemployment_Rate_YoY_Change,CPI_All_Items_MoM_Change,CPI_All_Items_YoY_Change,Retail_Sales_Excl_Auto_MoM_Change,Retail_Sales_Excl_Auto_YoY_Change,Retail_Sales_Index_MoM_Change,Retail_Sales_Index_YoY_Change,Consumer_Sentiment_MoM_Change,Consumer_Sentiment_YoY_Change,Disposable_Income_MoM_Change,Disposable_Income_YoY_Change,Personal_Consumption_Expenditures_MoM_Change,Personal_Consumption_Expenditures_YoY_Change,Ecommerce_Percent_Of_Total_MoM_Change,Ecommerce_Percent_Of_Total_YoY_Change
2018-01-01,2018,1,January,1,2018Q1,119491.0,423202.0,437073.0,54586.0,15316.0,51212.0,8487.0,42496.0,4.0,248.859,481414.0,-0.6,95.7,14886.6,13703.3,28.23497998591689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,2018,2,February,1,2018Q1,119491.0,425507.0,427541.0,50649.0,17879.0,50932.0,8259.0,40103.0,4.1,249.529,484031.0,0.5,99.7,14921.1,13738.7,28.082029202809828,0.0,,0.5446571613555662,,-2.180871387617167,,-7.212472062433594,,16.734134238704623,,-0.5467468562055822,,-2.686461647225169,,-5.631118222891562,,2.499999999999991,,0.26922876006090224,,0.5436069578367064,,-183.33333333333334,,4.179728317659359,,0.23175204546370676,,0.25833193464348536,,-0.5417067169282586,
2018-03-01,2018,3,March,1,2018Q1,119491.0,425087.0,499305.0,57005.0,21580.0,59086.0,9260.0,45620.0,4.0,249.577,484110.0,-0.1,101.4,14974.8,13793.2,28.109775175434677,0.0,,-0.09870577922337365,,16.78529076743518,,12.54911251949693,,20.70026287823703,,16.009581402654515,,12.120111393631184,,13.757075530508933,,-2.4390243902438935,,0.0192362410782021,,0.016321268679075907,,-120.0,,1.7051153460381219,,0.35989303737660183,,0.3966896431248923,,0.09880330379428148,
2018-04-01,2018,4,April,2,2018Q2,123042.0,425899.0,471784.0,53249.0,19853.0,53726.0,9048.0,44441.0,4.0,250.227,484154.0,0.2,98.8,15007.2,13838.4,28.88994808628337,2.9717719326141756,,0.19101972066895012,,-5.511861487467584,,-6.588895710902554,,-8.00278035217794,,-9.071522864976478,,-2.28941684665227,,-2.5843928101709768,,0.0,,0.2604406656061986,,0.009088843444682304,,-300.0,,-2.564102564102577,,0.21636349066431748,,0.327697706116048,,2.7754505540495744,
2018-05-01,2018,5,May,2,2018Q2,123042.0,432340.0,518787.0,57521.0,22952.0,60130.0,10889.0,47653.0,3.8,250.792,491960.0,1.5,98.0,15057.8,13905.0,28.45954572789934,0.0,,1.5123303881906303,,9.962821969375813,,8.022685872035161,,15.609731526721404,,11.919740907568022,,20.347038019451812,,7.227560135910527,,-5.000000000000004,,0.2257949781598212,,1.6122969137918997,,650.0,,-0.8097165991902799,,0.33717149101764043,,0.48126951092613,,-1.4897996946847347,
2018-06-01,2018,6,June,2,2018Q2,123042.0,430008.0,498145.0,55813.0,20703.0,57950.0,10021.0,44692.0,4.0,251.018,490228.0,-0.5,98.2,15119.3,13930.4,28.61388625327901,0.0,,-0.5393902946754903,,-3.9788969268697905,,-2.969350324229414,,-9.798710352039041,,-3.625478130716775,,-7.971347231150705,,-6.213669653537024,,5.263157894736836,,0.09011451720948305,,-0.3520611431823695,,-133.33333333333331,,0.20408163265306367,,0.4084261977181258,,0.18266810499820707,,0.5423154918048123,
2018-07-01,2018,7,July,3,2018Q3,125807.0,432070.0,496160.0,56401.0,21067.0,57209.0,9457.0,46443.0,3.8,251.214,493142.0,0.5,97.9,15184.7,13974.8,29.117272664151646,2.247200143040584,,0.47952596230766975,,-0.3984783546959192,,1.0535179975991182,,1.7581992947881986,,-1.2786885245901658,,-5.628180820277418,,3.917927145797906,,-5.000000000000004,,0.07808204989283585,,0.5944172915459678,,-200.0,,-0.3054989816700604,,0.4325597084521293,,0.31872738758398356,,1.7592381769356846,
2018-08-01,2018,8,August,3,2018Q3,125807.0,432031.0,511157.0,56728.0,22457.0,59700.0,10074.0,47867.0,3.8,251.663,493445.0,0.0,96.2,15238.6,14014.0,29.119901118206798,0.0,,-0.009026315180415967,,3.0226136730087116,,0.5797769543093301,,6.597996867138178,,4.354210001922776,,6.524267738183354,,3.0661240660594613,,0.0,,0.17873207703393845,,0.06144274874173572,,-100.0,,-1.7364657814096018,,0.3549625609988949,,0.28050490883591017,,0.009027129997618566,
2018-09-01,2018,9,September,3,2018Q3,125807.0,431438.0,468559.0,54685.0,19227.0,54683.0,9193.0,44127.0,3.7,252.182,491507.0,-0.1,100.1,15237.5,14017.8,29.159925644009103,0.0,,-0.13725866893811167,,-8.333643088131437,,-3.601396135946977,,-14.383043149129449,,-8.4036850921273,,-8.745284891800676,,-7.813316063258613,,-2.631578947368407,,0.2062281702117419,,-0.3927489385848526,,-inf,,4.054054054054035,,-0.007218510886830565,,0.02711574140144002,,0.13744732731004738,
2018-10-01,2018,10,October,4,2018Q4,129353.0,435894.0,494468.0,55809.0,20599.0,57479.0,10335.0,48945.0,3.8,252.772,496416.0,1.0,98.6,15274.1,14083.1,29.67533391145554,2.8186030983967436,,1.0328251104446018,,5.529506422883768,,2.0554082472341584,,7.135798616528843,,5.113106449902172,,12.422495376917219,,10.918485281120404,,2.7027027027026973,,0.2339580144498754,,0.9987650226751521,,-1100.0,,-1.4985014985015033,,0.24019688269072414,,0.46583629385497094,,1.7675225710060305,
