order_id,product_id,quantity,unit_price,discount,item_total
O0000001,P00078,1,19.71,0.08,18.133200000000002
O0000001,P00076,3,23.75,0.17,59.137499999999996
O0000002,P00039,1,40.53,0.01,40.124700000000004
O0000002,P00162,1,21.43,0.26,15.8582
O0000002,P00099,1,30.44,0.06,28.613599999999998
O0000002,P00194,2,40.53,0.22,63.226800000000004
O0000002,P00061,2,25.42,0.26,37.6216
O0000003,P00187,1,42.02,0.2,33.61600000000001
O0000003,P00172,3,20.51,0.04,59.068799999999996
O0000003,P00138,1,26.3,0.27,19.199
O0000003,P00099,1,30.44,0.12,26.787200000000002
O0000003,P00072,1,38.08,0.16,31.987199999999998
O0000003,P00075,1,32.14,0.2,25.712000000000003
O0000003,P00193,1,37.11,0.03,35.9967
O0000004,P00001,2,27.51,0.06,51.7188
O0000004,P00180,1,28.32,0.21,22.3728
O0000004,P00057,1,18.72,0.05,17.784
O0000004,P00010,3,32.34,0.11,86.3478
O0000004,P00032,2,35.55,0.1,63.989999999999995
O0000004,P00119,4,36.65,0.08,134.872
O0000004,P00104,1,25.44,0.23,19.588800000000003
O0000004,P00133,4,41.85,0.15,142.29
O0000004,P00079,2,24.1,0.17,40.006
O0000004,P00096,2,21.71,0.02,42.5516
O0000005,P00166,4,18.08,0.07,67.25759999999998
O0000005,P00166,3,18.08,0.18,44.4768
O0000005,P00057,1,18.72,0.0,18.72
O0000006,P00040,1,29.26,0.27,21.3598
O0000007,P00166,1,18.08,0.14,15.548799999999998
O0000007,P00026,1,31.29,0.0,31.29
O0000007,P00093,3,25.37,0.28,54.7992
O0000007,P00100,2,37.43,0.23,57.6422
O0000007,P00112,1,33.74,0.25,25.305
O0000008,P00083,2,36.37,0.28,52.37279999999999
O0000008,P00144,3,19.24,0.25,43.29
O0000008,P00135,1,38.07,0.15,32.3595
O0000008,P00020,3,24.87,0.24,56.7036
O0000008,P00062,2,41.71,0.12,73.4096
O0000008,P00090,1,21.75,0.28,15.66
O0000009,P00166,2,18.08,0.04,34.71359999999999
O0000009,P00171,5,25.44,0.01,125.928
O0000010,P00189,2,18.44,0.13,32.0856
O0000010,P00189,1,18.44,0.2,14.752000000000002
O0000010,P00057,1,18.72,0.19,15.1632
O0000011,P00158,1,24.19,0.02,23.7062
O0000011,P00158,1,24.19,0.21,19.110100000000003
O0000012,P00123,2,22.11,0.16,37.1448
O0000012,P00179,5,23.12,0.16,97.104
O0000013,P00017,1,27.14,0.06,25.511599999999998
O0000013,P00128,1,23.84,0.07,22.1712
O0000014,P00076,2,23.75,0.16,39.9
O0000014,P00090,3,21.75,0.22,50.895
O0000015,P00062,1,41.71,0.13,36.2877
O0000016,P00135,1,38.07,0.14,32.7402
O0000016,P00008,2,40.34,0.1,72.61200000000001
O0000016,P00177,1,36.5,0.26,27.009999999999998
O0000016,P00180,1,28.32,0.25,21.240000000000002
O0000016,P00144,1,19.24,0.02,18.855199999999996
O0000016,P00185,3,30.49,0.26,67.6878
O0000017,P00115,1,23.61,0.04,22.665599999999998
O0000017,P00042,3,27.21,0.21,64.4877
O0000018,P00117,1,23.7,0.3,16.59
O0000018,P00066,2,23.19,0.28,33.3936
O0000018,P00081,1,31.4,0.15,26.689999999999998
O0000018,P00112,4,33.74,0.1,121.46400000000001
O0000018,P00087,3,35.81,0.19,87.01830000000001
O0000019,P00142,1,19.45,0.16,16.337999999999997
O0000019,P00019,1,24.12,0.28,17.3664
O0000020,P00082,5,31.14,0.01,154.143
O0000021,P00153,2,22.09,0.19,35.7858
O0000022,P00168,1,29.23,0.0,29.23
O0000023,P00149,1,39.43,0.28,28.389599999999998
O0000023,P00183,2,33.5,0.12,58.96
O0000023,P00106,3,20.98,0.28,45.31679999999999
