order_id,customer_id,order_date,status,payment_method,total_amount,item_count,total_quantity,avg_discount,product_categories,products_list,year
O0000001,C00923,2018-01-01 15:00:00,completed,credit_card,496.66,2,4,0.11,"electronics,fashion",P00055(x2)|P00070(x2),2018
O0000001,C00923,2018-01-01 15:00:00,completed,credit_card,496.66,2,4,0.11,"electronics,fashion",P00055(x2)|P00070(x2),2018
O0000003,C00479,2018-01-02 20:00:00,completed,credit_card,532.43,3,5,0.08,"Electronics,electronics",P00093(x1)|P00044(x3)|P00083(x1),2018
O0000003,C00479,2018-01-02 20:00:00,completed,credit_card,532.43,3,5,0.08,"Electronics,electronics",P00093(x1)|P00044(x3)|P00083(x1),2018
O0000003,C00479,2018-01-02 20:00:00,completed,credit_card,532.43,3,5,0.08,"Electronics,electronics",P00093(x1)|P00044(x3)|P00083(x1),2018
O0000006,C00860,2018-01-03 19:00:00,completed,credit_card,282.64,3,3,0.2,"Electronics,Health",P00064(x1)|P00078(x1)|P00027(x1),2018
O0000006,C00860,2018-01-03 19:00:00,completed,credit_card,282.64,3,3,0.2,"Electronics,Health",P00064(x1)|P00078(x1)|P00027(x1),2018
O0000006,C00860,2018-01-03 19:00:00,completed,credit_card,282.64,3,3,0.2,"Electronics,Health",P00064(x1)|P00078(x1)|P00027(x1),2018
O0000009,C00685,2018-01-04 18:00:00,completed,credit_card,389.36,3,4,0.18,"Electronics,Fashion,Health",P00081(x2)|P00121(x1)|P00010(x1),2018
O0000009,C00685,2018-01-04 18:00:00,completed,credit_card,389.36,3,4,0.18,"Electronics,Fashion,Health",P00081(x2)|P00121(x1)|P00010(x1),2018
O0000009,C00685,2018-01-04 18:00:00,completed,credit_card,389.36,3,4,0.18,"Electronics,Fashion,Health",P00081(x2)|P00121(x1)|P00010(x1),2018
O0000012,C01004,2018-01-05 14:00:00,completed,credit_card,638.88,4,6,0.15,"Electronics,fashion",P00097(x1)|P00032(x1)|P00108(x1)|P00154(x3),2018
O0000012,C01004,2018-01-05 14:00:00,completed,credit_card,638.88,4,6,0.15,"Electronics,fashion",P00097(x1)|P00032(x1)|P00108(x1)|P00154(x3),2018
O0000012,C01004,2018-01-05 14:00:00,completed,credit_card,638.88,4,6,0.15,"Electronics,fashion",P00097(x1)|P00032(x1)|P00108(x1)|P00154(x3),2018
O0000012,C01004,2018-01-05 14:00:00,completed,credit_card,638.88,4,6,0.15,"Electronics,fashion",P00097(x1)|P00032(x1)|P00108(x1)|P00154(x3),2018
O0000016,C00667,2018-01-06 18:00:00,completed,paypal,798.48,5,9,0.12,"Electronics,Fashion,electronics,fashion",P00120(x1)|P00020(x2)|P00086(x2)|P00124(x3)|P00180(x1),2018
O0000016,C00667,2018-01-06 18:00:00,completed,paypal,798.48,5,9,0.12,"Electronics,Fashion,electronics,fashion",P00120(x1)|P00020(x2)|P00086(x2)|P00124(x3)|P00180(x1),2018
O0000016,C00667,2018-01-06 18:00:00,completed,paypal,798.48,5,9,0.12,"Electronics,Fashion,electronics,fashion",P00120(x1)|P00020(x2)|P00086(x2)|P00124(x3)|P00180(x1),2018
O0000016,C00667,2018-01-06 18:00:00,completed,paypal,798.48,5,9,0.12,"Electronics,Fashion,electronics,fashion",P00120(x1)|P00020(x2)|P00086(x2)|P00124(x3)|P00180(x1),2018
O0000016,C00667,2018-01-06 18:00:00,completed,paypal,798.48,5,9,0.12,"Electronics,Fashion,electronics,fashion",P00120(x1)|P00020(x2)|P00086(x2)|P00124(x3)|P00180(x1),2018
O0000021,C00441,2018-01-07 10:00:00,completed,credit_card,113.37,1,1,0.24,Health,P00172(x1),2018
O0000022,C00286,2018-01-08 18:00:00,completed,paypal,122.49,1,1,0.12,Electronics,P00032(x1),2018
O0000023,C00145,2018-01-09 16:00:00,completed,credit_card,146.09,1,1,0.13,Health,P00126(x1),2018
O0000024,C00145,2018-01-10 15:00:00,completed,credit_card,130.24,1,1,0.14,Health,P00094(x1),2018
O0000025,C00667,2018-01-11 14:00:00,cancelled,bank_transfer,0.0,0,0,0.0,,,2018
O0000026,C00685,2018-01-12 20:00:00,completed,credit_card,36.89,1,1,0.05,Fashion,P00041(x1),2018
O0000027,C00670,2018-01-13 09:00:00,completed,credit_card,91.3,1,1,0.25,Health,P00017(x1),2018
O0000028,C00956,2018-01-14 17:00:00,completed,credit_card,1008.92,4,7,0.12,"Electronics,fashion,health",P00100(x1)|P00154(x2)|P00158(x2)|P00136(x2),2018
O0000028,C00956,2018-01-14 17:00:00,completed,credit_card,1008.92,4,7,0.12,"Electronics,fashion,health",P00100(x1)|P00154(x2)|P00158(x2)|P00136(x2),2018
O0000028,C00956,2018-01-14 17:00:00,completed,credit_card,1008.92,4,7,0.12,"Electronics,fashion,health",P00100(x1)|P00154(x2)|P00158(x2)|P00136(x2),2018
O0000028,C00956,2018-01-14 17:00:00,completed,credit_card,1008.92,4,7,0.12,"Electronics,fashion,health",P00100(x1)|P00154(x2)|P00158(x2)|P00136(x2),2018
O0000032,C01022,2018-01-15 19:00:00,completed,credit_card,630.53,2,6,0.15,electronics,P00141(x2)|P00163(x4),2018
O0000032,C01022,2018-01-15 19:00:00,completed,credit_card,630.53,2,6,0.15,electronics,P00141(x2)|P00163(x4),2018
O0000034,C00273,2018-01-16 16:00:00,completed,credit_card,447.21,2,3,0.2,Electronics,P00166(x2)|P00121(x1),2018
O0000034,C00273,2018-01-16 16:00:00,completed,credit_card,447.21,2,3,0.2,Electronics,P00166(x2)|P00121(x1),2018
O0000036,C00495,2018-01-17 15:00:00,completed,paypal,771.91,3,6,0.14,"Electronics,electronics",P00032(x3)|P00177(x1)|P00167(x2),2018
