order_item_id,order_id,product_id,quantity,unit_price,total_price,discount
1,ORD00000001,1005,1,63.84,57.456,6.384
2,ORD00000001,1030,1,26.2,22.27,3.9299999999999997
3,ORD00000001,1163,2,72.59,145.18,0.0
4,ORD00000002,1033,2,50.3,100.6,0.0
5,ORD00000002,1163,1,72.59,72.59,0.0
6,ORD00000002,1192,1,61.37,55.233,6.1370000000000005
7,ORD00000002,1167,2,36.97,73.94,0.0
8,ORD00000003,1035,1,27.97,27.97,0.0
9,ORD00000004,1146,3,57.01,171.03,0.0
10,ORD00000004,1134,3,39.66,118.97999999999999,0.0
11,ORD00000004,1153,3,52.47,157.41,0.0
12,ORD00000005,1140,2,78.18,156.36,0.0
13,ORD00000005,1199,2,31.2,62.4,0.0
14,ORD00000006,1153,2,52.47,73.458,31.482
15,ORD00000006,1011,3,19.76,47.424,11.856000000000002
16,ORD00000007,1193,3,77.2,231.60000000000002,0.0
17,ORD00000007,1034,2,80.38,160.76,0.0
18,ORD00000007,1036,1,61.4,61.4,0.0
19,ORD00000007,1080,2,11.58,23.16,0.0
20,ORD00000008,1036,2,61.4,92.1,30.7
21,ORD00000008,1146,1,57.01,57.01,0.0
22,ORD00000008,1139,2,36.77,55.155,18.385
23,ORD00000008,1049,3,20.65,61.949999999999996,0.0
24,ORD00000009,1098,2,71.12,142.24,0.0
25,ORD00000009,1184,1,56.09,39.263000000000005,16.827
26,ORD00000009,1113,1,21.89,21.89,0.0
27,ORD00000009,1055,1,30.18,30.18,0.0
28,ORD00000010,1125,2,46.38,78.846,13.914
29,ORD00000011,1124,2,83.6,150.48,16.72
30,ORD00000011,1034,3,80.38,241.14,0.0
31,ORD00000011,1074,1,58.25,58.25,0.0
32,ORD00000012,1091,3,51.46,154.38,0.0
33,ORD00000013,1037,2,60.54,121.08,0.0
34,ORD00000013,1066,1,103.08,103.08,0.0
35,ORD00000014,1096,1,29.88,29.88,0.0
36,ORD00000014,1034,3,80.38,192.91199999999998,48.228
37,ORD00000014,1064,3,42.65,127.94999999999999,0.0
38,ORD00000015,1144,2,55.52,111.04,0.0
39,ORD00000016,1063,1,122.6,122.6,0.0
40,ORD00000016,1007,1,107.76,107.76,0.0
41,ORD00000016,1128,2,25.5,45.9,5.1000000000000005
42,ORD00000016,1011,3,19.76,59.28,0.0
43,ORD00000016,1154,1,68.59,51.4425,17.1475
44,ORD00000017,1126,1,86.67,73.6695,13.0005
45,ORD00000017,1117,1,59.57,59.57,0.0
46,ORD00000017,1150,3,29.43,88.28999999999999,0.0
47,ORD00000017,1018,2,58.46,81.844,35.076
48,ORD00000018,1081,3,54.84,164.52,0.0
49,ORD00000018,1053,1,51.22,51.22,0.0
50,ORD00000018,1122,3,88.76,239.65200000000002,26.628000000000004
51,ORD00000019,1030,2,26.2,52.4,0.0
52,ORD00000019,1195,1,30.31,30.31,0.0
53,ORD00000019,1020,1,49.7,39.760000000000005,9.940000000000001
54,ORD00000020,1093,2,64.2,128.4,0.0
55,ORD00000020,1018,3,58.46,157.84199999999998,17.538
56,ORD00000020,1103,1,9.29,9.29,0.0
57,ORD00000020,1165,3,18.08,54.239999999999995,0.0
58,ORD00000021,1177,3,47.28,127.656,14.184000000000001
59,ORD00000021,1071,2,48.58,97.16,0.0
60,ORD00000021,1161,2,34.66,69.32,0.0
61,ORD00000021,1175,1,89.25,89.25,0.0
62,ORD00000022,1096,3,29.88,89.64,0.0
63,ORD00000022,1021,1,24.84,24.84,0.0
64,ORD00000022,1020,3,49.7,104.37000000000002,44.730000000000004
65,ORD00000023,1145,2,47.4,94.8,0.0
66,ORD00000023,1017,3,44.54,93.534,40.086
67,ORD00000023,1117,3,59.57,178.71,0.0
68,ORD00000024,1129,2,16.84,33.68,0.0
69,ORD00000025,1150,3,29.43,88.28999999999999,0.0
70,ORD00000025,1075,1,12.22,12.22,0.0
71,ORD00000025,1056,1,64.83,64.83,0.0
72,ORD00000026,1157,1,52.66,52.66,0.0
73,ORD00000026,1094,2,19.35,38.7,0.0
74,ORD00000026,1072,3,30.81,69.32249999999999,23.107499999999998
75,ORD00000027,1169,3,19.07,51.489000000000004,5.721
76,ORD00000027,1046,2,36.51,73.02,0.0
77,ORD00000027,1142,3,51.36,154.07999999999998,0.0
78,ORD00000028,1153,2,52.47,104.94,0.0
79,ORD00000028,1025,1,33.42,33.42,0.0
80,ORD00000028,1130,2,65.56,118.00800000000001,13.112000000000002
81,ORD00000028,1145,2,47.4,94.8,0.0
82,ORD00000028,1124,3,83.6,250.79999999999998,0.0
83,ORD00000029,1098,3,71.12,213.36,0.0
84,ORD00000029,1180,2,31.02,62.04,0.0
85,ORD00000030,1035,1,27.97,22.375999999999998,5.594
86,ORD00000030,1050,3,58.9,176.7,0.0
87,ORD00000030,1177,1,47.28,42.552,4.728000000000001
88,ORD00000030,1172,1,37.89,37.89,0.0
89,ORD00000031,1145,2,47.4,94.8,0.0
90,ORD00000031,1066,1,103.08,103.08,0.0
91,ORD00000032,1196,2,15.68,31.36,0.0
92,ORD00000032,1054,1,41.29,41.29,0.0
93,ORD00000032,1041,1,8.92,8.92,0.0
94,ORD00000033,1044,2,19.04,38.08,0.0
95,ORD00000033,1195,2,30.31,60.62,0.0
96,ORD00000033,1087,2,34.44,48.215999999999994,20.663999999999998
97,ORD00000033,1166,3,12.36,37.08,0.0
98,ORD00000034,1018,2,58.46,116.92,0.0
99,ORD00000034,1045,1,93.67,93.67,0.0
100,ORD00000034,1148,2,42.54,85.08,0.0
101,ORD00000035,1173,1,54.42,46.257000000000005,8.163
102,ORD00000035,1199,3,31.2,93.6,0.0
103,ORD00000035,1040,1,69.79,69.79,0.0
104,ORD00000036,1174,2,50.91,101.82,0.0
105,ORD00000036,1199,2,31.2,62.4,0.0
106,ORD00000036,1006,2,35.49,63.882000000000005,7.098000000000001
107,ORD00000036,1080,3,11.58,27.792,6.948
108,ORD00000037,1116,1,25.74,25.74,0.0
109,ORD00000037,1065,1,30.49,30.49,0.0
110,ORD00000038,1113,3,21.89,52.536,13.134
111,ORD00000038,1135,2,56.09,112.18,0.0
112,ORD00000038,1137,3,39.08,117.24,0.0
113,ORD00000038,1062,1,66.94,66.94,0.0
114,ORD00000039,1133,2,49.7,99.4,0.0
115,ORD00000039,1019,2,60.61,109.098,12.122
116,ORD00000039,1186,3,94.19,282.57,0.0
117,ORD00000040,1078,1,12.39,12.39,0.0
118,ORD00000040,1082,1,76.82,61.455999999999996,15.363999999999999
119,ORD00000040,1087,3,34.44,103.32,0.0
120,ORD00000041,1197,1,74.18,59.34400000000001,14.836000000000002
121,ORD00000041,1143,3,44.46,133.38,0.0
122,ORD00000041,1086,1,99.75,99.75,0.0
123,ORD00000041,1169,2,19.07,38.14,0.0
124,ORD00000042,1005,2,63.84,127.68,0.0
125,ORD00000042,1128,1,25.5,25.5,0.0
126,ORD00000042,1188,3,17.51,47.277,5.253000000000001
127,ORD00000042,1010,1,24.45,24.45,0.0
128,ORD00000042,1089,1,92.29,64.60300000000001,27.687
129,ORD00000043,1123,3,55.04,132.096,33.024
130,ORD00000043,1145,2,47.4,94.8,0.0
131,ORD00000043,1087,2,34.44,68.88,0.0
132,ORD00000043,1121,2,65.9,118.62,13.180000000000001
133,ORD00000043,1185,1,58.52,58.52,0.0
134,ORD00000044,1039,3,73.35,198.045,22.005
135,ORD00000044,1090,2,19.71,39.42,0.0
136,ORD00000044,1040,3,69.79,188.433,20.937000000000005
137,ORD00000045,1034,2,80.38,160.76,0.0
138,ORD00000045,1107,1,28.44,22.752000000000002,5.688000000000001
