order_item_id,order_id,product_id,quantity,unit_price,total_price,discount
1,ORD00000001,1080,3,29.43216651183024,88.29649953549071,0.0
2,ORD00000001,1197,3,11.504960027380683,34.51488008214205,0.0
3,ORD00000002,1172,1,10.465883115223342,10.465883115223342,0.0
4,ORD00000002,1175,1,34.95304504509997,34.95304504509997,0.0
5,ORD00000002,1140,1,65.5995544542707,59.03959900884363,6.559955445427071
6,ORD00000003,1101,2,59.63425145857224,119.26850291714447,0.0
7,ORD00000003,1019,2,41.50674099105621,83.01348198211242,0.0
8,ORD00000003,1112,1,56.75488170199165,56.75488170199165,0.0
9,ORD00000004,1019,2,41.50674099105621,83.01348198211242,0.0
10,ORD00000004,1007,2,35.08449453398734,70.16898906797468,0.0
11,ORD00000004,1028,2,38.74630172442134,61.99408275907415,15.498520689768538
12,ORD00000005,1003,3,19.873910819876862,44.716299344722934,14.905433114907645
13,ORD00000005,1192,3,11.943124990338598,35.829374971015795,0.0
14,ORD00000006,1187,2,26.09585329387925,39.14377994081888,13.047926646939626
15,ORD00000006,1016,1,14.97272273421904,10.480905913953327,4.491816820265712
16,ORD00000007,1100,1,15.667527175480878,15.667527175480878,0.0
17,ORD00000007,1000,1,43.93542678573722,43.93542678573722,0.0
18,ORD00000007,1107,2,62.21942474002394,124.43884948004788,0.0
19,ORD00000008,1100,1,15.667527175480878,15.667527175480878,0.0
20,ORD00000008,1057,2,7.235981388276426,10.130373943586996,4.341588832965855
21,ORD00000008,1149,3,40.830715048206855,97.99371611569644,24.498429028924114
22,ORD00000009,1179,1,58.52006055276497,58.52006055276497,0.0
23,ORD00000009,1030,1,66.68244786272385,66.68244786272385,0.0
24,ORD00000009,1016,1,14.97272273421904,11.22954205066428,3.74318068355476
25,ORD00000009,1123,2,31.084674372128656,62.16934874425731,0.0
26,ORD00000010,1025,2,27.360272186986382,54.720544373972764,0.0
27,ORD00000010,1029,1,42.464444410092796,31.848333307569597,10.616111102523199
28,ORD00000010,1081,3,49.712944797310875,149.13883439193262,0.0
29,ORD00000010,1145,1,34.33335459748806,34.33335459748806,0.0
30,ORD00000011,1017,2,20.643829254788624,37.15889265861952,4.128765850957725
31,ORD00000011,1091,3,27.923627139360843,83.77088141808252,0.0
32,ORD00000012,1062,1,64.11605307968463,54.49864511773194,9.617407961952694
33,ORD00000012,1076,2,61.49958230087879,92.24937345131818,30.749791150439396
34,ORD00000012,1111,1,49.65660930207343,42.20811790676241,7.448491395311014
35,ORD00000012,1074,2,59.98478342893857,101.97413182919557,17.99543502868157
36,ORD00000013,1162,2,18.734681916186283,37.469363832372565,0.0
37,ORD00000013,1148,2,16.70660408763822,33.41320817527644,0.0
38,ORD00000013,1154,1,81.44234761493476,73.29811285344128,8.144234761493477
39,ORD00000014,1139,2,18.14628896592851,36.29257793185702,0.0
40,ORD00000014,1125,2,6.37217046130225,12.7443409226045,0.0
41,ORD00000014,1002,1,13.908607824178388,13.908607824178388,0.0
42,ORD00000014,1151,2,33.513360166809676,67.02672033361935,0.0
43,ORD00000015,1023,1,56.4919827242169,56.4919827242169,0.0
44,ORD00000015,1079,1,26.60287275101627,22.61244183836383,3.9904309126524407
45,ORD00000015,1043,3,10.334433626335969,31.003300879007902,0.0
46,ORD00000016,1040,2,37.15638885883119,55.73458328824679,18.578194429415596
47,ORD00000016,1143,1,69.17998815158396,55.343990521267166,13.835997630316792
48,ORD00000016,1089,1,34.27075960277978,34.27075960277978,0.0
49,ORD00000017,1009,1,72.14699090075612,72.14699090075612,0.0
50,ORD00000018,1143,1,69.17998815158396,69.17998815158396,0.0
51,ORD00000018,1077,2,6.497360450718798,11.695248811293835,1.2994720901437595
52,ORD00000019,1195,1,31.50406083667409,31.50406083667409,0.0
53,ORD00000019,1190,1,85.05407880960213,85.05407880960213,0.0
54,ORD00000020,1002,3,13.908607824178388,41.72582347253516,0.0
55,ORD00000020,1139,2,18.14628896592851,36.29257793185702,0.0
56,ORD00000020,1093,3,24.70624441135558,74.11873323406674,0.0
57,ORD00000021,1184,2,19.955284312997616,31.928454900796186,7.982113725199047
58,ORD00000021,1160,1,51.72224412744645,51.72224412744645,0.0
59,ORD00000022,1162,3,18.734681916186283,56.20404574855884,0.0
60,ORD00000022,1177,1,32.22390327581923,32.22390327581923,0.0
61,ORD00000023,1006,3,9.070014733228842,27.21004419968652,0.0
62,ORD00000023,1081,2,49.712944797310875,69.59812271623522,29.827766878386527
63,ORD00000023,1028,3,38.74630172442134,116.23890517326403,0.0
64,ORD00000023,1048,1,36.61807190434004,36.61807190434004,0.0
65,ORD00000023,1177,3,32.22390327581923,96.6717098274577,0.0
66,ORD00000024,1147,3,60.886151352737706,182.65845405821312,0.0
67,ORD00000024,1084,1,11.25458004854759,11.25458004854759,0.0
68,ORD00000025,1047,3,36.95608487576472,99.78142916456476,11.086825462729415
69,ORD00000025,1141,1,34.27075960277978,23.98953172194585,10.281227880833935
70,ORD00000025,1003,3,19.873910819876862,44.716299344722934,14.905433114907645
