order_id,customer_id,order_date,status,payment_method,subtotal,tax,shipping,loyalty_discount,total
ORD00000001,C100000,2021-05-10 03:56:34,completed,credit_card,140.74,11.26,0.0,0.0,152.0
ORD00000002,C100000,2020-01-01 15:29:54,completed,credit_card,119.71,9.58,0.0,0.0,129.29
ORD00000003,C100000,2021-03-28 03:53:03,completed,credit_card,296.86,23.75,0.0,0.0,320.61
ORD00000004,C100000,2022-02-11 03:27:32,completed,bank_transfer,246.59,19.73,0.0,0.0,266.32
ORD00000005,C100001,2023-07-08 18:48:43,completed,credit_card,84.57,6.77,0.0,8.46,82.89
ORD00000006,C100001,2022-04-04 22:48:18,completed,credit_card,56.87,4.55,0.0,0.0,61.42
ORD00000007,C100001,2019-01-28 15:07:26,completed,credit_card,210.91,16.87,0.0,0.0,227.78
ORD00000008,C100001,2018-12-29 18:43:22,completed,bank_transfer,141.87,11.35,0.0,0.0,153.22
ORD00000009,C100002,2024-01-19 13:09:59,completed,credit_card,226.11,18.09,0.0,22.61,221.59
ORD00000010,C100002,2023-09-02 14:19:07,completed,bank_transfer,283.54,22.68,0.0,0.0,306.22
ORD00000011,C100002,2023-09-16 20:27:37,completed,paypal,126.97,10.16,0.0,0.0,137.13
ORD00000012,C100002,2024-02-19 19:37:12,completed,credit_card,331.23,26.5,0.0,0.0,357.73
ORD00000013,C100002,2024-05-25 20:52:05,completed,credit_card,164.15,13.13,0.0,0.0,177.28
ORD00000014,C100003,2022-05-24 16:35:07,completed,credit_card,148.95,11.92,0.0,0.0,160.87
ORD00000015,C100003,2022-09-02 16:07:54,completed,credit_card,126.19,10.09,0.0,0.0,136.28
ORD00000016,C100003,2022-04-04 22:20:49,completed,paypal,166.57,13.33,0.0,0.0,179.9
ORD00000017,C100003,2022-08-01 11:45:38,completed,credit_card,82.68,6.61,0.0,8.27,81.02
ORD00000018,C100004,2024-12-20 19:03:04,completed,credit_card,92.08,7.37,0.0,0.0,99.45
ORD00000019,C100004,2024-11-01 14:26:59,completed,bank_transfer,132.7,10.62,0.0,0.0,143.32
ORD00000020,C100004,2024-10-02 00:27:23,completed,credit_card,173.21,13.86,0.0,0.0,187.07
ORD00000021,C100005,2024-12-18 04:18:06,completed,credit_card,95.24,7.62,0.0,0.0,102.86
ORD00000022,C100006,2021-10-11 11:47:00,completed,credit_card,101.34,8.11,0.0,0.0,109.45
