Product_ID,Name,Category,Price,Cost_Price
P0001,Tools Item 1,Furniture,29.92,19.14
P0002,Tools Item 2,Tools,27.87,16.28
P0003,Lighting Item 3,Plants,20.33,11.97
P0004,Garden Item 4,Lighting,16.95,15.69
P0005,Plants Item 5,Furniture,17.06,15.17
P0006,Tools Item 6,Furniture,31.16,25.64
P0007,Tools Item 7,Plants,19.29,13.1
P0008,Tools Item 8,Plants,23.0,10.5
P0009,Garden Item 9,Tools,14.42,10.49
P0010,Furniture Item 10,Garden,34.91,25.37
P0011,Lighting Item 11,Tools,20.4,8.83
P0012,Tools Item 12,Furniture,25.89,22.45
P0013,Furniture Item 13,Plants,37.05,21.15
P0014,Plants Item 14,Plants,57.36,44.12
P0015,Plants Item 15,Lighting,15.76,14.57
P0016,Lighting Item 16,Garden,27.62,16.85
P0017,Tools Item 17,Garden,24.18,11.01
P0018,Tools Item 18,Garden,71.82000000000001,49.88
P0019,Garden Item 19,Garden,22.47,13.32
P0020,Lighting Item 20,Plants,33.03,26.96
P0021,Tools Item 21,Lighting,35.38,28.16
P0022,Plants Item 22,Lighting,26.32,21.42
P0023,Furniture Item 23,Garden,27.62,8.88
P0024,Garden Item 24,Garden,28.17,20.09
P0025,Lighting Item 25,Lighting,52.17,36.97
P0026,Garden Item 26,Garden,12.56,11.0
P0027,Tools Item 27,Furniture,22.72,16.42
P0028,Tools Item 28,Lighting,24.46,15.7
P0029,Furniture Item 29,Garden,43.0,37.59
P0030,Tools Item 30,Tools,75.9,63.58
P0031,Furniture Item 31,Garden,13.19,10.17
P0032,Plants Item 32,Lighting,17.02,14.05
P0033,Plants Item 33,Lighting,33.97,31.93
P0034,Tools Item 34,Garden,67.74,51.77
P0035,Furniture Item 35,Garden,30.23,22.57
P0036,Plants Item 36,Tools,119.76,73.43
P0037,Plants Item 37,Garden,51.74,37.88
P0038,Plants Item 38,Furniture,16.75,7.7
P0039,Garden Item 39,Plants,34.08,10.0
P0040,Garden Item 40,Tools,18.02,13.99
P0041,Garden Item 41,Tools,24.66,8.4
P0042,Furniture Item 42,Plants,24.2,21.82
P0043,Garden Item 43,Furniture,22.43,13.77
P0044,Tools Item 44,Lighting,32.99,23.93
P0045,Tools Item 45,Garden,26.73,24.65
P0046,Furniture Item 46,Furniture,49.66,29.76
P0047,Lighting Item 47,Lighting,37.83,25.28
P0048,Garden Item 48,Plants,57.81,51.24
P0049,Garden Item 49,Lighting,35.93,17.75
P0050,Garden Item 50,Lighting,13.46,10.94
P0051,Plants Item 51,Lighting,32.28,29.06
P0052,Furniture Item 52,Garden,21.46,18.77
P0053,Plants Item 53,Garden,24.98,22.39
P0054,Furniture Item 54,Garden,34.18,33.0
P0055,Garden Item 55,Tools,17.87,12.1
P0056,Tools Item 56,Garden,47.68,35.8
P0057,Furniture Item 57,Plants,14.82,9.44
P0058,Lighting Item 58,Garden,47.49,43.13
P0059,Lighting Item 59,Garden,29.3,18.06
P0060,Lighting Item 60,Lighting,16.89,10.87
P0061,Lighting Item 61,Garden,20.57,14.86
P0062,Lighting Item 62,Plants,188.25,167.95
P0063,Garden Item 63,Furniture,25.23,14.52
P0064,Plants Item 64,Plants,40.94,39.43
P0065,Garden Item 65,Lighting,19.12,10.46
P0066,Tools Item 66,Furniture,19.13,16.2
P0067,Furniture Item 67,Tools,27.74,24.26
P0068,Plants Item 68,Plants,12.0,11.01
P0069,Plants Item 69,Garden,22.63,10.23
P0070,Garden Item 70,Garden,24.65,16.38
P0071,Garden Item 71,Lighting,21.67,15.62
P0072,Tools Item 72,Tools,52.72,23.66
P0073,Plants Item 73,Garden,15.09,10.34
P0074,Furniture Item 74,Lighting,18.55,15.05
P0075,Tools Item 75,Tools,23.13,17.61
P0076,Garden Item 76,Lighting,20.63,13.55
P0077,Plants Item 77,Furniture,26.92,13.58
P0078,Lighting Item 78,Plants,18.81,10.65
P0079,Tools Item 79,Plants,44.26,34.57
P0080,Lighting Item 80,Plants,40.79,24.76
P0081,Garden Item 81,Lighting,28.81,23.61
P0082,Garden Item 82,Lighting,25.23,15.08
P0083,Tools Item 83,Tools,18.01,8.22
P0084,Furniture Item 84,Plants,39.65,26.92
P0085,Furniture Item 85,Tools,17.76,10.85
P0086,Lighting Item 86,Furniture,11.41,6.59
P0087,Tools Item 87,Plants,29.87,22.52
P0088,Furniture Item 88,Furniture,23.82,13.89
P0089,Furniture Item 89,Furniture,42.16,30.4
P0090,Garden Item 90,Furniture,23.49,17.51
P0091,Garden Item 91,Furniture,25.0,15.16
P0092,Lighting Item 92,Garden,14.19,6.5
P0093,Garden Item 93,Plants,122.69999999999999,103.28
P0094,Tools Item 94,Tools,26.26,13.98
P0095,Garden Item 95,Tools,36.18,21.96
P0096,Furniture Item 96,Furniture,12.28,5.99
P0097,Garden Item 97,Tools,32.69,28.77
P0098,Plants Item 98,Furniture,24.39,15.98
P0099,Furniture Item 99,Plants,24.21,9.21
P0100,Garden Item 100,Lighting,15.79,10.36
