Month,Month_Number,Year,Quarter,Is_Peak_Month,Promotion_Type,Sales_Weight,Total sales (USD mln),GMV (USD bln),Gross profit (USD mln),Operating profit (USD mln),Avg. order value (USD),Active stores (mln),Est. Customer repeat rate (orders/customer),Top sales categories,Estimated_customers
2018-01,1,2018,2018 Q1,0,Spring sales,0.25,55.5,10.25,25.75,-5.75,37.5,0.6,2.0,"Electronics, fashion, health",740000.0
2018-02,2,2018,2018 Q1,0,Spring sales,0.45,99.9,18.45,46.35,-10.35,67.5,0.6,2.0,"Electronics, fashion, health",740000.0
2018-03,3,2018,2018 Q1,1,Spring sales,0.3,66.6,12.3,30.9,-6.9,45.0,0.6,2.0,"Electronics, fashion, health",740000.0
2018-04,4,2018,2018 Q2,0,Summer sales,0.25,67.25,11.25,30.0,-5.0,38.75,0.65,1.9,"Fashion, electronics",913413.0
2018-05,5,2018,2018 Q2,0,Summer sales,0.4,107.6,18.0,48.0,-8.0,62.0,0.65,1.9,"Fashion, electronics",913413.0
2018-06,6,2018,2018 Q2,1,Summer sales,0.35,94.15,15.749999999999998,42.0,-7.0,54.25,0.65,1.9,"Fashion, electronics",913413.0
2018-07,7,2018,2018 Q3,0,Back to school specials,0.4,126.0,19.200000000000003,60.0,-6.0,64.0,0.68,1.8,"Health, home",1093750.0
2018-08,8,2018,2018 Q3,0,Back to school specials,0.35,110.25,16.799999999999997,52.5,-5.25,56.0,0.68,1.8,"Health, home",1093750.0
2018-09,9,2018,2018 Q3,0,Back to school specials,0.25,78.75,12.0,37.5,-3.75,40.0,0.68,1.8,"Health, home",1093750.0
2018-10,10,2018,2018 Q4,0,"Cyber 5, Black Friday",0.15,51.6,8.1,27.9,-1.35,24.0,0.7,1.9,"Electronics, home, sports",1131579.0
2018-11,11,2018,2018 Q4,0,"Cyber 5, Black Friday",0.7,240.8,37.8,130.2,-6.3,112.0,0.7,1.9,"Electronics, home, sports",1131579.0
2018-12,12,2018,2018 Q4,1,"Cyber 5, Black Friday",0.15,51.6,8.1,27.9,-1.35,24.0,0.7,1.9,"Electronics, home, sports",1131579.0
2019-01,1,2019,2019 Q1,0,"Spring sales, Prime Day",0.6,231.0,33.6,126.0,3.0,99.0,0.75,2.0,"Electronics, fashion, health",1166666.0
2019-02,2,2019,2019 Q1,1,"Spring sales, Prime Day",0.25,96.25,14.0,52.5,1.25,41.25,0.75,2.0,"Electronics, fashion, health",1166666.0
2019-03,3,2019,2019 Q1,0,"Spring sales, Prime Day",0.15,57.75,8.4,31.5,0.75,24.75,0.75,2.0,"Electronics, fashion, health",1166666.0
2019-04,4,2019,2019 Q2,0,Summer sales,0.25,100.0,14.5,56.25,3.75,42.5,0.8,2.0,"Fashion, electronics",1176470.0
2019-05,5,2019,2019 Q2,0,Summer sales,0.4,160.0,23.200000000000003,90.0,6.0,68.0,0.8,2.0,"Fashion, electronics",1176470.0
2019-06,6,2019,2019 Q2,1,Summer sales,0.35,140.0,20.3,78.75,5.25,59.49999999999999,0.8,2.0,"Fashion, electronics",1176470.0
2019-07,7,2019,2019 Q3,0,Back to school specials,0.4,168.0,23.200000000000003,92.0,4.0,70.0,0.85,1.9,"Health, home",1263158.0
2019-08,8,2019,2019 Q3,0,Back to school specials,0.35,147.0,20.3,80.5,3.5,61.24999999999999,0.85,1.9,"Health, home",1263158.0
2019-09,9,2019,2019 Q3,0,Back to school specials,0.25,105.0,14.5,57.5,2.5,43.75,0.85,1.9,"Health, home",1263158.0
2019-10,10,2019,2019 Q4,0,"Cyber 5, Black Friday",0.15,90.0,8.85,46.5,4.5,27.0,1.0,2.2,"Electronics, home, sports",1515151.0
2019-11,11,2019,2019 Q4,0,"Cyber 5, Black Friday",0.7,420.0,41.3,217.0,21.0,126.0,1.0,2.2,"Electronics, home, sports",1515151.0
2019-12,12,2019,2019 Q4,1,"Cyber 5, Black Friday",0.15,90.0,8.85,46.5,4.5,27.0,1.0,2.2,"Electronics, home, sports",1515151.0
